TYP,POS,DUR
32766,1,0
276,1,29682
32766,29684,0
277,29684,20271
32766,49956,0
1072,49956,41562
32766,91519,0
768,91869,1875
772,92369,313
768,93872,1875
771,94372,313
768,95790,1875
770,96290,313
768,97742,1875
769,98242,313
768,99750,1875
769,100250,313
768,101861,1875
770,102361,313
768,103778,1875
771,104278,313
768,105828,1875
772,106328,313
768,107759,1875
770,108259,313
768,109757,1875
771,110257,313
768,111663,1875
769,112163,313
768,113558,1875
769,114058,313
768,115530,1875
769,116030,313
768,117474,1875
772,117974,313
768,119441,1875
770,119941,313
768,121561,1875
770,122061,313
768,123569,1875
769,124069,313
768,125635,1875
769,126135,313
768,127671,1875
771,128171,313
768,129737,1875
769,130237,313
768,131807,1875
770,132307,313
768,133887,1875
1023,133887,1875
772,134387,313
768,135799,1875
772,136299,313
768,137830,1875
771,138330,313
768,139783,1875
769,140283,313
768,141744,1875
772,142244,313
768,143848,1875
772,144348,313
768,145852,1875
770,146352,313
768,147827,1875
772,148327,313
768,149853,1875
772,150353,313
768,151924,1875
770,152424,313
768,154031,1875
769,154531,313
768,156123,1875
770,156623,313
768,158214,1875
771,158714,313
768,160257,1875
771,160757,313
768,162321,1875
771,162821,313
768,164341,1875
772,164841,313
768,166313,1875
771,166813,313
768,168276,1875
769,168776,313
768,170201,1875
772,170701,313
768,172282,1875
770,172782,313
768,174260,1875
771,174760,313
768,176250,1875
770,176750,313
768,178369,1875
771,178869,313
768,180275,1875
772,180775,313
768,182203,1875
1023,182203,1875
770,182703,313
768,184317,1875
771,184817,313
768,186376,1875
769,186876,313
32766,188354,0
768,188704,1875
769,189204,313
768,190707,1875
769,191207,313
768,192625,1875
772,193125,313
768,194577,1875
770,195077,313
768,196585,1875
1023,196585,1875
769,197085,313
768,198696,1875
771,199196,313
768,200613,1875
769,201113,313
768,202663,1875
771,203163,313
768,204594,1875
1023,204594,1875
770,205094,313
768,206592,1875
772,207092,313
768,208498,1875
769,208998,313
768,210393,1875
771,210893,313
768,212365,1875
771,212865,313
768,214309,1875
769,214809,313
768,216276,1875
771,216776,313
768,218396,1875
770,218896,313
768,220404,1875
772,220904,313
768,222470,1875
772,222970,313
768,224506,1875
772,225006,313
768,226572,1875
1023,226572,1875
771,227072,313
768,228642,1875
769,229142,313
768,230722,1875
772,231222,313
768,232634,1875
770,233134,313
768,234665,1875
772,235165,313
768,236618,1875
770,237118,313
768,238579,1875
769,239079,313
768,240683,1875
771,241183,313
768,242687,1875
770,243187,313
768,244662,1875
769,245162,313
768,246688,1875
771,247188,313
768,248759,1875
771,249259,313
768,250866,1875
769,251366,313
768,252958,1875
771,253458,313
768,255049,1875
772,255549,313
768,257092,1875
772,257592,313
768,259156,1875
770,259656,313
768,261176,1875
769,261676,313
768,263148,1875
770,263648,313
768,265111,1875
772,265611,313
768,267036,1875
770,267536,313
768,269117,1875
772,269617,313
768,271095,1875
771,271595,313
768,273085,1875
770,273585,313
768,275204,1875
770,275704,313
768,277110,1875
770,277610,313
768,279038,1875
771,279538,313
768,281152,1875
1023,281152,1875
772,281652,313
768,283211,1875
769,283711,313
32766,285189,0
768,285539,1875
770,286039,313
768,287542,1875
1023,287542,1875
772,288042,313
768,289460,1875
1023,289460,1875
769,289960,313
768,291412,1875
771,291912,313
768,293420,1875
771,293920,313
768,295531,1875
772,296031,313
768,297448,1875
769,297948,313
768,299498,1875
769,299998,313
768,301429,1875
1023,301429,1875
771,301929,313
768,303427,1875
770,303927,313
768,305333,1875
772,305833,313
768,307228,1875
772,307728,313
768,309200,1875
772,309700,313
768,311144,1875
770,311644,313
768,313111,1875
769,313611,313
768,315231,1875
771,315731,313
768,317239,1875
770,317739,313
768,319305,1875
772,319805,313
768,321341,1875
769,321841,313
768,323407,1875
772,323907,313
768,325477,1875
771,325977,313
768,327557,1875
770,328057,313
768,329469,1875
772,329969,313
768,331500,1875
772,332000,313
768,333453,1875
769,333953,313
768,335414,1875
770,335914,313
768,337518,1875
770,338018,313
768,339522,1875
771,340022,313
768,341497,1875
772,341997,313
768,343523,1875
770,344023,313
768,345594,1875
769,346094,313
768,347701,1875
769,348201,313
768,349793,1875
772,350293,313
768,351884,1875
770,352384,313
768,353927,1875
769,354427,313
768,355991,1875
771,356491,313
768,358011,1875
770,358511,313
768,359983,1875
770,360483,313
768,361946,1875
771,362446,313
768,363871,1875
769,364371,313
768,365952,1875
772,366452,313
768,367930,1875
771,368430,313
768,369920,1875
771,370420,313
768,372039,1875
771,372539,313
768,373945,1875
771,374445,313
768,375873,1875
769,376373,313
768,377987,1875
770,378487,313
768,380046,1875
769,380546,313
32766,382024,0
768,382374,1875
770,382874,313
768,384377,1875
769,384877,313
768,386295,1875
769,386795,313
768,388247,1875
771,388747,313
768,390255,1875
771,390755,313
768,392366,1875
770,392866,313
768,394283,1875
771,394783,313
768,396333,1875
772,396833,313
768,398264,1875
769,398764,313
768,400262,1875
772,400762,313
768,402168,1875
769,402668,313
768,404063,1875
769,404563,313
768,406035,1875
770,406535,313
768,407979,1875
772,408479,313
768,409946,1875
771,410446,313
768,412066,1875
770,412566,313
768,414074,1875
772,414574,313
768,416140,1875
771,416640,313
768,418176,1875
772,418676,313
768,420242,1875
771,420742,313
768,422312,1875
772,422812,313
768,424392,1875
770,424892,313
768,426304,1875
770,426804,313
768,428335,1875
772,428835,313
768,430288,1875
769,430788,313
768,432249,1875
770,432749,313
768,434353,1875
770,434853,313
768,436357,1875
770,436857,313
768,438332,1875
771,438832,313
768,440358,1875
772,440858,313
768,442429,1875
769,442929,313
768,444536,1875
772,445036,313
768,446628,1875
769,447128,313
768,448719,1875
771,449219,313
768,450762,1875
769,451262,313
768,452826,1875
772,453326,313
768,454846,1875
769,455346,313
768,456818,1875
771,457318,313
768,458781,1875
769,459281,313
768,460706,1875
770,461206,313
768,462787,1875
771,463287,313
768,464765,1875
771,465265,313
768,466755,1875
772,467255,313
768,468874,1875
769,469374,313
768,470780,1875
770,471280,313
768,472708,1875
772,473208,313
768,474822,1875
770,475322,313
768,476881,1875
1023,476881,1875
771,477381,313
32766,478859,0
768,479209,1875
771,479709,313
768,481212,1875
769,481712,313
768,483130,1875
772,483630,313
768,485082,1875
770,485582,313
768,487090,1875
772,487590,313
768,489201,1875
769,489701,313
768,491118,1875
769,491618,313
768,493168,1875
771,493668,313
768,495099,1875
771,495599,313
768,497097,1875
770,497597,313
768,499003,1875
772,499503,313
768,500898,1875
770,501398,313
768,502870,1875
770,503370,313
768,504814,1875
769,505314,313
768,506781,1875
770,507281,313
768,508901,1875
772,509401,313
768,510909,1875
772,511409,313
768,512975,1875
770,513475,313
768,515011,1875
770,515511,313
768,517077,1875
770,517577,313
768,519147,1875
770,519647,313
768,521227,1875
772,521727,313
768,523139,1875
1023,523139,1875
772,523639,313
768,525170,1875
771,525670,313
768,527123,1875
772,527623,313
768,529084,1875
769,529584,313
768,531188,1875
770,531688,313
768,533192,1875
771,533692,313
768,535167,1875
770,535667,313
768,537193,1875
769,537693,313
768,539264,1875
772,539764,313
768,541371,1875
769,541871,313
768,543463,1875
772,543963,313
768,545554,1875
769,546054,313
768,547597,1875
769,548097,313
768,549661,1875
769,550161,313
768,551681,1875
769,552181,313
768,553653,1875
1023,553653,1875
771,554153,313
768,555616,1875
771,556116,313
768,557541,1875
772,558041,313
768,559622,1875
770,560122,313
768,561600,1875
771,562100,313
768,563590,1875
771,564090,313
768,565709,1875
771,566209,313
768,567615,1875
772,568115,313
768,569543,1875
771,570043,313
768,571657,1875
769,572157,313
768,573716,1875
771,574216,313
32766,575694,0
768,576044,1875
769,576544,313
768,578047,1875
772,578547,313
768,579965,1875
770,580465,313
768,581917,1875
772,582417,313
768,583925,1875
772,584425,313
768,586036,1875
771,586536,313
768,587953,1875
772,588453,313
768,590003,1875
772,590503,313
768,591934,1875
771,592434,313
768,593932,1875
770,594432,313
768,595838,1875
772,596338,313
768,597733,1875
771,598233,313
768,599705,1875
769,600205,313
768,601649,1875
770,602149,313
768,603616,1875
1023,603616,1875
770,604116,313
768,605736,1875
770,606236,313
768,607744,1875
771,608244,313
768,609810,1875
770,610310,313
768,611846,1875
772,612346,313
768,613912,1875
771,614412,313
768,615982,1875
772,616482,313
768,618062,1875
770,618562,313
768,619974,1875
771,620474,313
768,622005,1875
769,622505,313
768,623958,1875
772,624458,313
768,625919,1875
769,626419,313
768,628023,1875
771,628523,313
768,630027,1875
772,630527,313
768,632002,1875
769,632502,313
768,634028,1875
771,634528,313
768,636099,1875
769,636599,313
768,638206,1875
770,638706,313
768,640298,1875
770,640798,313
768,642389,1875
769,642889,313
768,644432,1875
772,644932,313
768,646496,1875
769,646996,313
768,648516,1875
1023,648516,1875
772,649016,313
768,650488,1875
771,650988,313
768,652451,1875
771,652951,313
768,654376,1875
769,654876,313
768,656457,1875
771,656957,313
768,658435,1875
770,658935,313
768,660425,1875
770,660925,313
768,662544,1875
769,663044,313
768,664450,1875
771,664950,313
768,666378,1875
769,666878,313
768,668492,1875
770,668992,313
768,670551,1875
1023,670551,1875
769,671051,313
